Reservoir,Date,Elevation,Temp_C,pH,DO_mgL,Turb,Color,Odor,Algae_cells_mL,Fe_mgL,Mn_mgL,Alkalinity,Hardness,CO2,TOC,Notes,Predominant_algae_organism,Reservoir_level,Withdraw_levels,Flag
CCR,3/11/97 9:10,1160,6.7,7.8,12.3,2,33,N/A,N/A,0.07,0.03,48,54,1.2,N/A,"Windy, sunny, cool",N/A,Full/Overflowing,1150 & 1140,
CCR,3/11/97 9:10,1150,6.7,7.9,12.3,1.9,31,N/A,N/A,0.07,0.03,52,54,1.2,N/A,H2O - Dark green ,N/A,Full/Overflowing,1150 & 1140,
CCR,3/11/97 9:10,1140,6.7,7.9,12.8,1.9,31,N/A,N/A,0.06,0.03,50,52,1.4,N/A,Values recorded to the left of the chart,N/A,Full/Overflowing,1150 & 1140,
CCR,3/11/97 9:10,1130,6.5,7.8,12.3,2.1,34,N/A,N/A,0.08,0.03,50,50,1.6,N/A,No predominant algae recorded,N/A,Full/Overflowing,1150 & 1140,
CCR,3/11/97 9:10,1120,6.4,7.8,13.3,2,38,N/A,N/A,0.08,0.08,54,52,1.2,N/A,No odor recorded for elevation levels,N/A,Full/Overflowing,1150 & 1140,
CCR,3/11/97 9:10,1110,5.7,7.7,13,5.6,63,N/A,N/A,0.57,0.57,54,52,1.2,N/A,No algal cell count recorded,N/A,Full/Overflowing,1150 & 1140,
CCR,2/18/97 9:25,1160,3.8,7.9,17.45,1.2,28,N/A,N/A,0.06,0.03,60,56,1.4,N/A,"Cool, calm, sunny",N/A,Full/Overflowing,1150 & 1140,
CCR,2/18/97 9:25,1150,3.5,7.8,16.75,1.2,23,N/A,N/A,0.05,0.03,68,56,1.4,N/A,Water - dark green/brown,N/A,Full/Overflowing,1150 & 1140,
CCR,2/18/97 9:25,1140,3.3,7.9,16.17,1.2,23,N/A,N/A,0.06,0.03,64,54,1.2,N/A,No odor recorded for elevation levels,N/A,Full/Overflowing,1150 & 1140,
CCR,2/18/97 9:25,1130,3.4,7.8,15.4,1.4,29,N/A,N/A,0.06,0.03,66,56,1.4,N/A,No algal cells recorded,N/A,Full/Overflowing,1150 & 1140,
CCR,2/18/97 9:25,1120,3.3,7.9,14.25,1.3,25,N/A,N/A,0.06,0.03,62,56,1.2,N/A,No predominant algae recorded,N/A,Full/Overflowing,1150 & 1140,
CCR,2/18/97 9:25,1110,3.3,7.8,14.05,1.4,22,N/A,N/A,0.05,0.02,56,52,1.2,N/A,Two temperature values recorded,N/A,Full/Overflowing,1150 & 1140,
CCR,1/16/97 21:00,1160,4.2,7.9,14.2,1.6,21,N/A,N/A,0.04,0.04,60,62,1.4,N/A,Windy & cold; H2O - Rough,N/A,N/A,N/A,
CCR,1/16/97 21:00,1150,3.8,7.9,14.7,1.6,18,N/A,N/A,0.05,0.04,58,58,1.2,N/A,No withdrawal level recorded,N/A,N/A,N/A,
CCR,1/16/97 21:00,1140,3.8,7.9,13.5,2.2,30,N/A,N/A,0.05,0.04,56,58,1.6,N/A,No reservoir level recorded,N/A,N/A,N/A,
CCR,1/16/97 21:00,1130,3.7,7.8,13.1,1.8,24,N/A,N/A,0.05,0.04,56,58,1.7,N/A,No withdrawal level recorded,N/A,N/A,N/A,
CCR,1/16/97 21:00,1120,3.5,7.9,16.4,1.7,22,N/A,N/A,0.06,0.05,58,60,1.4,N/A,No odor recorded for elevation levels,N/A,N/A,N/A,
CCR,1/16/97 21:00,1110,3.5,7.9,16,4.2,35,N/A,N/A,0.11,0.07,58,58,1.4,N/A,No predominant algae recorded,N/A,N/A,N/A,
CCR,12/11/96 9:30,1160,7.8,7.6,20.51,2.6,28,N/A,N/A,0.11,0.08,62,70,1.4,N/A,"Dark green, cold & breezy ",N/A,Full,N/A,
CCR,12/11/96 9:30,1150,8.9,7.7,19.51,2.7,34,N/A,N/A,0.11,0.09,62,70,1.4,N/A,H2O - Overflowing dam,N/A,Full,N/A,
CCR,12/11/96 9:30,1140,7.5,7.7,18.04,2.5,38,N/A,N/A,0.11,0.08,64,72,1.5,N/A,No withdrawal level recorded,N/A,Full,N/A,
CCR,12/11/96 9:30,1130,7,7.7,19.36,2.9,38,N/A,N/A,0.11,0.08,66,70,1.5,N/A,No odor recorded for elevation levels,N/A,Full,N/A,
CCR,12/11/96 9:30,1120,7.5,7.6,19.83,2.7,36,N/A,N/A,0.11,0.08,62,70,1.2,N/A,No algal cell count recorded,N/A,Full,N/A,
CCR,12/11/96 9:30,1110,7,7.7,18.54,2.9,36,N/A,N/A,0.12,0.09,68,68,1.6,N/A,No predominant algae recorded,N/A,Full,N/A,
CCR,11/18/96,1160,11,7.7,11.2,2.2,37,N/A,N/A,0.14,0.21,70,72,1.6,N/A,"Cool, raining",N/A,2 ft low,1150 & 1140,
CCR,11/18/96,1150,11,7.7,11,2.4,38,N/A,N/A,0.12,0.22,70,70,1.8,N/A,H2O - Calm,N/A,2 ft low,1150 & 1140,
CCR,11/18/96,1140,11,7.7,9.6,2.3,38,N/A,N/A,0.14,0.22,68,70,1.6,N/A,No predominant algae recorded,N/A,2 ft low,1150 & 1140,
CCR,11/18/96,1130,11,7.6,10.4,2.6,41,N/A,N/A,0.18,0.26,60,70,1.8,N/A,No odor recorded for elevation levels,N/A,2 ft low,1150 & 1140,
CCR,11/18/96,1120,10.8,7.6,9.8,2.9,42,N/A,N/A,0.28,0.49,72,72,1.8,N/A,No algal cell count recorded,N/A,2 ft low,1150 & 1140,
CCR,11/18/96,1110,10.5,7.4,7.7,4.4,63,N/A,N/A,0.85,1.02,76,76,2,N/A,,N/A,2 ft low,1150 & 1140,
CCR,10/16/96,1160,17.5,7.7,19.38,1.7,26,N/A,N/A,0.06,0.06,70,69,2,N/A,"Sunny, warm",N/A,Full,1140 & 1150,
CCR,10/16/96,1150,17.2,7.7,18.36,1.7,33,N/A,N/A,0.06,0.05,70,70,2,N/A,Water color - murky brown/green,N/A,Full,1140 & 1150,
CCR,10/16/96,1140,17,7.7,17.05,1.7,26,N/A,N/A,0.05,0.05,70,69,2,N/A,No odor recorded,N/A,Full,1140 & 1150,
CCR,10/16/96,1130,17,7.6,15.56,2.4,33,N/A,N/A,0.07,0.07,70,70,2.2,N/A,No predominant algae recorded,N/A,Full,1140 & 1150,
CCR,10/16/96,1120,14,7.4,7.45,1.9,33,N/A,N/A,0.34,0.98,76,76,2.2,N/A,No algal cell count recorded,N/A,Full,1140 & 1150,
CCR,10/16/96,1110,13.1,7.4,8.67,3.4,60,N/A,N/A,0.96,1.02,80,79,2.4,N/A,,N/A,Full,1140 & 1150,
CCR,9/18/96 22:30,1160,22,8.2,10.1,1,18,N/A,N/A,0.04,0.02,70,70,1.6,N/A,Green; choppy water ,N/A,Full,1140 &1150 ,
CCR,9/18/96 22:30,1150,21.6,8.2,12,1.2,14,N/A,N/A,0.03,0.02,70,70,1.8,N/A,Very windy & cool - sunny,N/A,Full,1140 &1150 ,
CCR,9/18/96 22:30,1140,21.5,8.1,11.9,1.5,22,N/A,N/A,0.05,0.03,70,72,1.8,N/A,No odor recorded,N/A,Full,1140 &1150 ,
CCR,9/18/96 22:30,1130,17.7,7.4,5.1,2.1,25,N/A,N/A,0.09,0.32,74,74,2,N/A,No algal cell count recorded,N/A,Full,1140 &1150 ,
CCR,9/18/96 22:30,1120,15.8,7.4,5.9,1.7,23,N/A,N/A,0.22,0.62,78,76,2.2,N/A,No predominant algae recorded,N/A,Full,1140 &1150 ,
CCR,9/18/96 22:30,1110,13.5,7.3,3.1,3.6,77,N/A,N/A,1.71,1.4,80,82,2.4,N/A,,N/A,Full,1140 &1150 ,
CCR,8/21/96 9:30,1160,26,8.6,9.49,1.2,22,N/A,N/A,0.03,0.02,74,73,1.6,N/A,Water clear & green,N/A,3 Lows,1140 &1150 ,
CCR,8/21/96 9:30,1150,26,8.6,9.1,1,23,3,N/A,0.03,0.02,72,72,1.4,N/A,Partly sunny & hazy,N/A,3 Lows,1140 &1150 ,
CCR,8/21/96 9:30,1140,23.5,7.7,6.05,1.7,28,3,N/A,0.06,0.03,74,75,1.6,N/A,Warm & no breeze,N/A,3 Lows,1140 &1150 ,
CCR,8/21/96 9:30,1130,18,7.6,3.3,2.2,34,N/A,N/A,0.09,0.25,76,76,1.6,N/A,Odor available only for some levels ,N/A,3 Lows,1140 &1150 ,
CCR,8/21/96 9:30,1120,17.7,7.6,3.4,2.4,31,N/A,N/A,0.13,0.34,76,76,1.6,N/A,No algal cell count recorded,N/A,3 Lows,1140 &1150 ,
CCR,8/21/96 9:30,1110,17.4,7.7,3.3,4.7,49,3,N/A,0.36,0.64,78,77,1.8,N/A,No predominant algae recorded,N/A,3 Lows,1140 &1150 ,
CCR,7/23/96 9:15,1160,26,8.5,15.5,1.3,9,N/A,N/A,0.02,0.02,72,78,1.4,N/A,H2O Dark Green/Calm/No odor ,N/A,3 ft Low,1150 & 1140 ,
CCR,7/23/96 9:15,1150,25.5,8.5,15.2,1.3,10,N/A,N/A,0.02,0.02,70,74,1.8,N/A,"Weather - Cloudy, rain showers",N/A,3 ft Low,1150 & 1140 ,
CCR,7/23/96 9:15,1140,22,7.4,8.4,1.7,15,N/A,N/A,0.04,0.03,64,70,5,N/A,No odor recorded,N/A,3 ft Low,1150 & 1140 ,
CCR,7/23/96 9:15,1130,17.5,7.2,5,1.5,15,N/A,N/A,0.04,0.17,76,76,3.4,N/A,No algal cell count recorded,N/A,3 ft Low,1150 & 1140 ,
CCR,7/23/96 9:15,1120,16,7.2,6,1.8,15,N/A,N/A,0.05,0.21,70,70,2.6,N/A,No predominant algae recorded,N/A,3 ft Low,1150 & 1140 ,
CCR,7/23/96 9:15,1110,16,7.3,7.5,2.8,26,N/A,N/A,0.12,0.38,78,78,2.4,N/A,Two temperatures recorded ,N/A,3 ft Low,1150 & 1140 ,
CCR,7/10/96 9:15,1160,24,8.2,8.3,1,16,Dust,N/A,0.03,0.02,68,76,2.8,N/A,H2O Dark Green,N/A,2 Low,1140 & 1150 ,
CCR,7/10/96 9:15,1150,24,8.3,8.3,1,16,Earthy,N/A,0.04,0.02,66,74,2,N/A,"Sunny, breezy",N/A,2 Low,1140 & 1150 ,
CCR,7/10/96 9:15,1140,21,7.5,7.7,1.3,25,Earth deadmatter,N/A,0.04,0.02,74,76,2,N/A,Physical description of odor,N/A,2 Low,1140 & 1150 ,
CCR,7/10/96 9:15,1130,18,7.2,5,1.3,25,Earthy,N/A,0.05,0.09,66,70,1.8,N/A,No predominant algae recorded,N/A,2 Low,1140 & 1150 ,
CCR,7/10/96 9:15,1120,18,7.2,5.6,1.4,18,Earthy,N/A,0.06,0.08,72,74,1.8,N/A,No algal cell count recorded,N/A,2 Low,1140 & 1150 ,
CCR,7/10/96 9:15,1110,16,7.2,5.6,1.7,34,Earthy,N/A,0.06,0.17,72,76,1.8,N/A,,N/A,2 Low,1140 & 1150 ,
CCR,6/28/96 10:00,1160,23.5,8.2,14.73,1.1,12,N/A,N/A,0.03,0.02,72,74,4.6,N/A,"Sunny, warm",N/A,3/10 Low,1140 & 1130,
CCR,6/28/96 10:00,1150,23,8,16.84,1.3,20,N/A,N/A,0.04,0.02,72,69,3.2,N/A,Slightly breezy,N/A,3/10 Low,1140 & 1130,
CCR,6/28/96 10:00,1140,21,7.3,13.82,1.8,22,N/A,N/A,0.04,0.02,70,72,2.8,N/A,Dark green color,N/A,3/10 Low,1140 & 1130,
CCR,6/28/96 10:00,1130,17.5,7.4,8.8,1.5,23,N/A,N/A,0.04,0.06,72,78,2.8,N/A,No odor ,N/A,3/10 Low,1140 & 1130,
CCR,6/28/96 10:00,1120,16,7.3,7.94,2,24,N/A,N/A,0.06,0.06,72,74,2.4,N/A,No algal cell count recorded,N/A,3/10 Low,1140 & 1130,
CCR,6/28/96 10:00,1110,16,7.3,7.25,3,33,N/A,N/A,0.11,0.29,72,74,2.2,N/A,No predominant algae recorded,N/A,3/10 Low,1140 & 1130,
CCR,6/13/96 11:40,1160,23.5,8.3,15.44,1.4,13,N/A,N/A,0.03,0.02,72,74,4.6,N/A,"Full pond/overflowing, partly sunny/no wind",N/A,Full,1140 & 1130,
CCR,6/13/96 11:40,1150,22.5,8.2,14.76,1.6,16,N/A,N/A,0.04,0.02,72,69,3.2,N/A,"H2O - Dark green, calm, no odor",N/A,Full,1140 & 1130,
CCR,6/13/96 11:40,1140,19.5,7.9,13.68,3.2,39,N/A,N/A,0.04,0.02,70,72,2.8,N/A,No predominant algae recorded,N/A,Full,1140 & 1130,
CCR,6/13/96 11:40,1130,16,7.6,12.39,2,24,N/A,N/A,0.04,0.06,72,78,2.8,N/A,No odor recorded,N/A,Full,1140 & 1130,
CCR,6/13/96 11:40,1120,14,7.7,11.9,2.5,34,N/A,N/A,0.06,0.06,72,74,2.4,N/A,No algal cell count recorded,N/A,Full,1140 & 1130,
CCR,6/13/96 11:40,1110,14,7.7,10.76,3.4,45,N/A,N/A,0.11,0.11,72,74,2.2,N/A,Two temperatures recorded,N/A,Full,1140 & 1130,
CCR,5/17/96 10:48,1160,19,8.6,5.8,2.9,36,3,N/A,0.07,0.03,76,80,0.08,N/A,"Warm, humid weather",N/A,1170 Overflowing,30 & 40 ,
CCR,5/17/96 10:48,1150,17.5,8.5,6.5,3.3,40,N/A,N/A,0.07,0.03,76,78,1.2,N/A,"Blue color, calm",N/A,1170 Overflowing,30 & 40 ,
CCR,5/17/96 10:48,1140,15.5,7.9,5.66,2.9,36,N/A,N/A,0.07,0.04,72,76,2.2,N/A,"An odor is recorded, but only for 1160 ",N/A,1170 Overflowing,30 & 40 ,
CCR,5/17/96 10:48,1130,14,7.8,5.86,2.7,36,N/A,N/A,0.07,0.04,72,80,2.6,N/A,No predominant algae recorded,N/A,1170 Overflowing,30 & 40 ,
CCR,5/17/96 10:48,1120,14,7.6,5.31,3,32,N/A,N/A,0.06,0.06,74,78,2.4,N/A,No algal cell count recorded,N/A,1170 Overflowing,30 & 40 ,
CCR,5/17/96 10:48,1110,13,7.5,5.12,4,43,N/A,N/A,0.09,0.08,76,82,2.6,N/A,,N/A,1170 Overflowing,30 & 40 ,
CCR,4/18/96 9:45,1160,11,7.9,7.1,2.6,36,"Rainy, fishy",N/A,0.06,0.03,75,76,2,N/A,"Very green, murky water, sunny & warm",N/A,Full,N/A,
CCR,4/18/96 9:45,1150,10.5,7.9,7.32,2.8,36,N/A,N/A,0.07,0.04,75,76,2,N/A,"Odor only recorded for 1160, and only a physical description is given ",N/A,Full,N/A,
CCR,4/18/96 9:45,1140,9.5,7.9,6.9,2.8,37,N/A,N/A,0.09,0.04,76,76,2.4,N/A,Two temperatures recorded,N/A,Full,N/A,
CCR,4/18/96 9:45,1130,9,7.8,8.95,3,38,N/A,N/A,0.1,0.06,76,76,1.8,N/A,No algal cells recorded,N/A,Full,N/A,
CCR,4/18/96 9:45,1120,9,7.8,6.6,3.3,39,N/A,N/A,0.1,0.07,76,76,1.4,N/A,No predominant algae recorded,N/A,Full,N/A,
CCR,4/18/96 9:45,1110,9,7.8,7.18,3,40,N/A,N/A,0.1,0.07,76,76,1.4,N/A,No withdrawal level,N/A,Full,N/A,
CCR,3/13/96,1160,6.5,8.2,10,3,31,8,N/A,0.06,0.04,68,72,1.2,N/A,Pond full,Synedra,Full,50 & 40,
CCR,3/13/96,1150,5.5,8.2,8.92,4,36,N/A,N/A,0.07,0.04,68,70,1.6,N/A,"Clear sunny day, no wind",Asterionella,Full,50 & 40,
CCR,3/13/96,1140,5.5,8.1,8.03,2.9,36,N/A,N/A,0.06,0.04,68,72,1.6,N/A,Water dark green/murky,Dinobryon,Full,50 & 40,
CCR,3/13/96,1130,5.5,8.1,8.41,3.7,37,N/A,N/A,0.07,0.04,68,70,1.6,N/A,Odor recorded only for 1160,Fragilaria,Full,50 & 40,
CCR,3/13/96,1120,5.5,8,7.89,3.2,39,N/A,N/A,0.07,0.04,68,72,1.4,N/A,Two temperatures recorded,Apologia,Full,50 & 40,
CCR,3/13/96,1110,5.5,7.9,7.31,4.5,43,N/A,N/A,0.09,0.04,70,72,1.6,N/A,No algal cells recorded,,Full,50 & 40,
CCR,2/27/96,1160,6,8.1,12.3,4.3,38,N/A,N/A,0.09,0.03,71,72,2.4,N/A,Mild day,N/A,Full,N/A,
CCR,2/27/96,1150,5.5,8,14.28,4.3,39,N/A,N/A,0.08,0.03,70,72,2,N/A,Partly sunny,N/A,Full,N/A,
CCR,2/27/96,1140,6,8,13.33,4.3,40,N/A,N/A,0.09,0.03,71,73,1.6,N/A,No withdrawal level,N/A,Full,N/A,
CCR,2/27/96,1130,6,8,12.88,4.5,40,N/A,N/A,0.09,0.03,73,73,1.4,N/A,No odor recorded,N/A,Full,N/A,
CCR,2/27/96,1120,5,8,12.6,4.6,40,N/A,N/A,0.09,0.03,74,74,1.8,N/A,No predominant algae recorded,N/A,Full,N/A,
CCR,2/27/96,1110,4.5,8,12.8,5.4,41,N/A,N/A,0.09,0.03,70,72,1.4,N/A,No algal cells recorded,N/A,Full,N/A,
CCR,11/30/95 9:15,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dark green,N/A,11-12 low,1140 & 1130,
CCR,11/30/95 9:15,1150,8,7.7,10.9,2.1,28,N/A,N/A,0.11,0.1,80,78,2.2,N/A,"Clean day, sunny, & cold",N/A,11-12 low,1140 & 1130,
CCR,11/30/95 9:15,1140,7.7,7.6,10.5,2.1,30,N/A,N/A,0.11,0.1,82,80,1.6,N/A,No information for elevation level 1160,N/A,11-12 low,1140 & 1130,
CCR,11/30/95 9:15,1130,7.5,7.6,10.6,2.3,26,N/A,N/A,0.11,0.1,80,80,1.1,N/A,No predominant algae recorded,N/A,11-12 low,1140 & 1130,
CCR,11/30/95 9:15,1120,7.5,7.6,9.4,2.8,29,N/A,N/A,0.12,0.12,80,80,1.4,N/A,No odor recorded,N/A,11-12 low,1140 & 1130,
CCR,11/30/95 9:15,1110,7.5,7.3,10.4,4,27,N/A,N/A,0.15,0.14,80,82,1.1,N/A,No algal cells recorded,N/A,11-12 low,1140 & 1130,
CCR,10/12/95,1160,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Dark green, blow offs working",N/A,N/A,N/A,
CCR,10/12/95,1150,20,8.3,9.3,1.61,20,N/A,N/A,0.05,0.04,80,80,1.2,N/A,No information for elevation level 1160,N/A,N/A,N/A,
CCR,10/12/95,1140,17.5,7.6,7.4,2.92,56,N/A,N/A,0.08,0.25,76,76,1.6,N/A,No odor recorded,N/A,N/A,N/A,
CCR,10/12/95,1130,17,7.6,5.4,3.05,61,N/A,N/A,0.12,0.42,76,76,1.6,N/A,No algal cells recorded,N/A,N/A,N/A,
CCR,10/12/95,1120,12,7.5,4,6.6,110,N/A,N/A,1.83,1.28,79,82,2.4,N/A,No reservoir or withdrawal levels recorded,N/A,N/A,N/A,
CCR,10/12/95,1110,11.5,7.4,3.2,14.2,208,N/A,N/A,2.95,1.6,84,86,2.4,N/A,Two temperatures recorded,N/A,N/A,N/A,
CCR,9/7/95 10:00,1160,24.5,8.3,11.14,6,29,2,N/A,0.03,0.03,74,74,1.6,N/A,Clear,N/A,5 low,1150/1140,
CCR,9/7/95 10:00,1150,22,8.3,10.23,5.62,18,200 mL,N/A,0.03,0.03,78,76,1.4,N/A,Sunny,N/A,5 low,1150/1140,
CCR,9/7/95 10:00,1140,19.5,7.5,4.59,3,43,Raw odor ,N/A,0.08,0.12,78,78,2.8,N/A,No predominant algae recorded,N/A,5 low,1150/1140,
CCR,9/7/95 10:00,1130,13,7.3,4.06,1.3,40,N/A,N/A,0.18,0.53,80,84,4,N/A,No algal cells recorded,N/A,5 low,1150/1140,
CCR,9/7/95 10:00,1120,13,7.3,3.84,1.77,57,N/A,N/A,0.41,0.69,80,82,4,N/A,"Odor only given for 1160, 1150, 1140",N/A,5 low,1150/1140,
CCR,9/7/95 10:00,1110,12.4,7.2,3.58,1.67,89,N/A,N/A,1.47,1.18,84,84,4,N/A,,N/A,5 low,1150/1140,
CCR,8/2/95 10:30,1160,29,7.4,9.4,1.92,19,N/A,N/A,0.02,0.01,68,74,1.6,N/A,Dark green color/clear,N/A,1.5 ft Low,1150/1140,
CCR,8/2/95 10:30,1150,25,7.9,8.8,1.5,22,N/A,N/A,0.03,0.01,70,70,2.2,N/A,"Hot, humidy, & sunny",N/A,1.5 ft Low,1150/1140,
CCR,8/2/95 10:30,1140,18,7.4,5.2,1.5,32,N/A,N/A,0.09,0.04,78,78,2.8,N/A,No odor recorded,N/A,1.5 ft Low,1150/1140,
CCR,8/2/95 10:30,1130,18,7.6,4.1,2.1,24,N/A,N/A,0.07,0.2,76,76,2.3,N/A,No algal cell count recorded,N/A,1.5 ft Low,1150/1140,
CCR,8/2/95 10:30,1120,16.5,7.5,3.9,2.7,41,N/A,N/A,0.12,0.36,82,80,3.4,N/A,No predominant algae recorded ,N/A,1.5 ft Low,1150/1140,
CCR,8/2/95 10:30,1110,12.5,7.4,2.6,6.1,50,N/A,N/A,0.48,1.1,84,82,3.6,N/A,,N/A,1.5 ft Low,1150/1140,
CCR,7/6/95 9:10,1160,25.5,8.2,11.21,1.7,26,1.4,N/A,0.05,0.02,78,80,3,N/A,H2O - Green. dark,N/A,Full overflowing,1150 & 1140 ,
CCR,7/6/95 9:10,1150,23.3,7.9,10.41,2.7,34,(Can't read the first word) Murky,N/A,0.08,0.02,70,68,3.4,N/A,"Hot, humid, and overcast",N/A,Full overflowing,1150 & 1140 ,
CCR,7/6/95 9:10,1140,18.4,7.7,8.88,2.9,37,N/A,N/A,0.09,0.05,80,80,3.8,N/A,Odor only recorded for 1160 and 1150,N/A,Full overflowing,1150 & 1140 ,
CCR,7/6/95 9:10,1130,15.2,7.6,6.83,2.7,32,N/A,N/A,0.1,0.09,80,80,4.8,N/A,"For odor, for 1150., I can't read the first word",N/A,Full overflowing,1150 & 1140 ,
CCR,7/6/95 9:10,1120,15.2,7.6,6.24,3.2,39,N/A,N/A,0.11,0.25,80,80,5.4,N/A,No predominant algae recorded,N/A,Full overflowing,1150 & 1140 ,
CCR,7/6/95 9:10,1110,14.1,7.6,4.44,3.6,42,N/A,N/A,0.18,0.85,80,82,4.8,N/A,No algal cell count recorded,N/A,Full overflowing,1150 & 1140 ,
CCR,6/8/95 10:30,1160,24.5,8.2,10.6,1.1,20,1.4,N/A,0.04,0.03,82,84,3,N/A,"H2O - Green, color, clear",N/A,3.5 Low,1150 & 1140 ,
CCR,6/8/95 10:30,1150,22,8.2,10.8,1.3,23,Earthy,N/A,0.04,0.03,84,86,2.4,N/A,"Sunny, hot",N/A,3.5 Low,1150 & 1140 ,
CCR,6/8/95 10:30,1140,16,7.9,10,1.9,28,N/A,N/A,0.05,0.04,82,84,3.8,N/A,No predominant algae recorded,N/A,3.5 Low,1150 & 1140 ,
CCR,6/8/95 10:30,1130,13,7.6,7.7,1.6,32,N/A,N/A,0.05,0.06,80,84,4,N/A,No algal cell count recorded,N/A,3.5 Low,1150 & 1140 ,
CCR,6/8/95 10:30,1120,13,7.6,7.3,1.8,32,N/A,N/A,0.05,0.06,80,84,4.2,N/A,Odor only recorded for 1160 and 1150,N/A,3.5 Low,1150 & 1140 ,
CCR,6/8/95 10:30,1110,12,7.5,5,2.9,64,N/A,N/A,0.11,0.25,78,86,4.4,N/A,,N/A,3.5 Low,1150 & 1140 ,
CCR,5/8/95 11:10,1160,17,8.3,12.73,2.5,32,N/A,N/A,0.07,0.04,78,84,3.4,N/A,H2O - Green & cloudy ,N/A,2'8 Low ,1150-1140,
CCR,5/8/95 11:10,1150,15.5,8.5,12.46,1.8,27,N/A,N/A,0.06,0.04,78,80,3.2,N/A,"Warm, sunny ",N/A,2'8 Low ,1150-1140,
CCR,5/8/95 11:10,1140,12,8,11.68,2.3,30,N/A,N/A,0.06,0.05,78,80,3.8,N/A,Windy,N/A,2'8 Low ,1150-1140,
CCR,5/8/95 11:10,1130,9.5,7.7,9.65,2.3,36,N/A,N/A,0.08,0.07,78,82,2.4,N/A,No odor recorded,N/A,2'8 Low ,1150-1140,
CCR,5/8/95 11:10,1120,9,7.7,8.74,2.9,37,N/A,N/A,0.09,0.16,80,82,2.6,N/A,No algal cell count recorded,N/A,2'8 Low ,1150-1140,
CCR,5/8/95 11:10,1110,9,7.7,8.12,3.1,41,N/A,N/A,1.2,0.21,78,84,2.8,N/A,No predominant algae found,N/A,2'8 Low ,1150-1140,
CCR,4/10/95,1160,13,8,11.69,4.1,33,N/A,N/A,0.07,0.04,80,80,3.6,N/A,"Cool, overcast",N/A,~1 Low,1150 & 1140 ,
CCR,4/10/95,1150,12,8.1,11.47,3,36,N/A,N/A,0.06,0.04,78,82,2.8,N/A,H2O - Dark green color - cloudy,N/A,~1 Low,1150 & 1140 ,
CCR,4/10/95,1140,11.5,8.1,11.41,3,36,N/A,N/A,0.06,0.04,76,80,3.2,N/A,No odor recorded,N/A,~1 Low,1150 & 1140 ,
CCR,4/10/95,1130,9,7.8,10.31,2.8,35,N/A,N/A,0.07,0.05,76,80,4,N/A,No predominant algae found,N/A,~1 Low,1150 & 1140 ,
CCR,4/10/95,1120,8,7.8,10.1,2.6,37,N/A,N/A,0.07,0.06,78,80,4,N/A,No algal cell count recorded,N/A,~1 Low,1150 & 1140 ,
CCR,4/10/95,1110,8,7.8,10,3.2,40,N/A,N/A,0.08,0.08,76,82,3.8,N/A,"Two temperatures values recorded, except for 1110",N/A,~1 Low,1150 & 1140 ,
CCR,3/17/95 10:45,1160,10,7.8,12.25,2.4,29,1,N/A,0.06,0.04,76,80,2.6,N/A,Clear/sunny,N/A,Full,"1150, 1140, 1110",
CCR,3/17/95 10:45,1150,8,8.1,13.21,2.2,34,N/A,N/A,0.06,0.04,80,82,2.2,N/A,"H2O - Brown, green",N/A,Full,"1150, 1140, 1110",
CCR,3/17/95 10:45,1140,7.5,8,12.8,2.1,38,N/A,N/A,0.06,0.04,80,82,2.4,N/A,Slightly cloudy,N/A,Full,"1150, 1140, 1110",
CCR,3/17/95 10:45,1130,7,8,12.32,2.2,31,N/A,N/A,0.06,0.04,78,82,2.6,N/A,Odor recorded only for 1160,N/A,Full,"1150, 1140, 1110",
CCR,3/17/95 10:45,1120,7.5,7.5,12.22,2.8,36,N/A,N/A,0.09,0.06,74,82,2.8,N/A,No algal cell count recorded,N/A,Full,"1150, 1140, 1110",
CCR,3/17/95 10:45,1110,7,8,12.08,3.3,50,N/A,N/A,0.13,0.06,78,86,1.8,N/A,No predominant algae found,N/A,Full,"1150, 1140, 1110",
CCR,2/1/95 12:10,1160,5,7.2,10.8,7.7,65,N/A,N/A,0.2,0.05,70,76,60,N/A,"Sunny, cold",N/A,1.6 Low,1150 & 1140 ,
CCR,2/1/95 12:10,1150,4.5,7.7,10.7,7.4,66,N/A,N/A,0.18,0.04,72,78,3.2,N/A,H2O - Light green,N/A,1.6 Low,1150 & 1140 ,
CCR,2/1/95 12:10,1140,4.5,7.7,10.5,7.6,71,N/A,N/A,0.18,0.04,74,80,2.8,N/A,Cloudy,N/A,1.6 Low,1150 & 1140 ,
CCR,2/1/95 12:10,1130,4.5,7.8,10.4,7.8,68,N/A,N/A,0.18,0.04,71,80,2.4,N/A,No odor recorded,N/A,1.6 Low,1150 & 1140 ,
CCR,2/1/95 12:10,1120,4.5,7.8,10.4,8.3,69,N/A,N/A,0.18,0.05,76,84,2.4,N/A,No algal cell count recorded,N/A,1.6 Low,1150 & 1140 ,
CCR,2/1/95 12:10,1110,4.5,7.8,10.3,8.5,78,N/A,N/A,0.18,0.06,78,84,2.6,N/A,No predominant algae found,N/A,1.6 Low,1150 & 1140 ,
